image_file,rank,hex,rgb,percentage,color_name,brand_personality
83.jpg,1,#141311,"(20, 19, 17)",33.43,Black,Luxury / Powerful
83.jpg,2,#6a5b55,"(106, 91, 85)",24.22,Mixed,Custom Branding
83.jpg,3,#423630,"(66, 54, 48)",22.4,Mixed,Custom Branding
83.jpg,4,#9d787e,"(157, 120, 126)",13.71,Mixed,Custom Branding
83.jpg,5,#d9d2d2,"(217, 210, 210)",6.24,White,Minimal / Clean
88.jpg,1,#fbfdfa,"(251, 253, 250)",86.75,White,Minimal / Clean
88.jpg,2,#a9b7c1,"(169, 183, 193)",4.52,Mixed,Custom Branding
88.jpg,3,#cedee5,"(206, 222, 229)",3.47,White,Minimal / Clean
88.jpg,4,#10528a,"(16, 82, 138)",3.11,Mixed,Custom Branding
88.jpg,5,#6a8da5,"(106, 141, 165)",2.15,Blue,Trust / Professional
35.jpg,1,#faf9f9,"(250, 249, 249)",51.78,White,Minimal / Clean
35.jpg,2,#df2029,"(223, 32, 41)",28.59,Red,Bold / Energetic
35.jpg,3,#c8acac,"(200, 172, 172)",7.38,Mixed,Custom Branding
35.jpg,4,#1a0d0d,"(26, 13, 13)",7.14,Black,Luxury / Powerful
35.jpg,5,#524849,"(82, 72, 73)",5.12,Mixed,Custom Branding
21.jpg,1,#fbfcfa,"(251, 252, 250)",84.83,White,Minimal / Clean
21.jpg,2,#080707,"(8, 7, 7)",6.5,Black,Luxury / Powerful
21.jpg,3,#bab9b9,"(186, 185, 185)",3.58,Mixed,Custom Branding
21.jpg,4,#747373,"(116, 115, 115)",2.59,Mixed,Custom Branding
21.jpg,5,#313030,"(49, 48, 48)",2.51,Black,Luxury / Powerful
37.jpg,1,#f6f6f6,"(246, 246, 246)",65.46,White,Minimal / Clean
37.jpg,2,#090909,"(9, 9, 9)",19.3,Black,Luxury / Powerful
37.jpg,3,#c6c6c6,"(198, 198, 198)",5.71,Mixed,Custom Branding
37.jpg,4,#444444,"(68, 68, 68)",5.09,Mixed,Custom Branding
37.jpg,5,#898989,"(137, 137, 137)",4.45,Mixed,Custom Branding
2.jpg,1,#f7fbf8,"(247, 251, 248)",68.36,White,Minimal / Clean
2.jpg,2,#157c47,"(21, 124, 71)",13.89,Mixed,Custom Branding
2.jpg,3,#a2d4bd,"(162, 212, 189)",7.71,Mixed,Custom Branding
2.jpg,4,#f6cb46,"(246, 203, 70)",5.27,Yellow,Optimistic / Creative
2.jpg,5,#5a9f7c,"(90, 159, 124)",4.78,Green,Growth / Eco
31.jpg,1,#f8f8f8,"(248, 248, 248)",61.54,White,Minimal / Clean
31.jpg,2,#0b0b13,"(11, 11, 19)",13.35,Black,Luxury / Powerful
31.jpg,3,#acaeb8,"(172, 174, 184)",12.53,Mixed,Custom Branding
31.jpg,4,#4c4e68,"(76, 78, 104)",8.76,Mixed,Custom Branding
31.jpg,5,#4970e5,"(73, 112, 229)",3.82,Blue,Trust / Professional
36jpg.jpg,1,#f7faf8,"(247, 250, 248)",56.74,White,Minimal / Clean
36jpg.jpg,2,#0d76ed,"(13, 118, 237)",23.89,Blue,Trust / Professional
36jpg.jpg,3,#e62916,"(230, 41, 22)",11.73,Red,Bold / Energetic
36jpg.jpg,4,#7eb3e6,"(126, 179, 230)",4.16,Mixed,Custom Branding
36jpg.jpg,5,#ec9b93,"(236, 155, 147)",3.48,Mixed,Custom Branding
36.jpg,1,#f3d82a,"(243, 216, 42)",30.15,Yellow,Optimistic / Creative
36.jpg,2,#bf941b,"(191, 148, 27)",21.51,Mixed,Custom Branding
36.jpg,3,#352f26,"(53, 47, 38)",19.3,Black,Luxury / Powerful
36.jpg,4,#f8f9f6,"(248, 249, 246)",18.33,White,Minimal / Clean
36.jpg,5,#806f37,"(128, 111, 55)",10.71,Mixed,Custom Branding
60.jpg,1,#19231d,"(25, 35, 29)",26.94,Black,Luxury / Powerful
60.jpg,2,#a3bfaa,"(163, 191, 170)",20.95,Mixed,Custom Branding
60.jpg,3,#42534a,"(66, 83, 74)",20.18,Mixed,Custom Branding
60.jpg,4,#71867a,"(113, 134, 122)",17.14,Mixed,Custom Branding
60.jpg,5,#d8e8d5,"(216, 232, 213)",14.8,White,Minimal / Clean
55.jpg,1,#f5fcfb,"(245, 252, 251)",58.18,White,Minimal / Clean
55.jpg,2,#168f86,"(22, 143, 134)",21.85,Teal,Sophisticated / Balanced
55.jpg,3,#abdcd9,"(171, 220, 217)",7.39,Mixed,Custom Branding
55.jpg,4,#6bb2ac,"(107, 178, 172)",7.08,Mixed,Custom Branding
55.jpg,5,#0e4b51,"(14, 75, 81)",5.51,Mixed,Custom Branding
52jpg.jpg,1,#fcfafa,"(252, 250, 250)",53.4,White,Minimal / Clean
52jpg.jpg,2,#d51328,"(213, 19, 40)",27.46,Red,Bold / Energetic
52jpg.jpg,3,#b12d3c,"(177, 45, 60)",8.47,Mixed,Custom Branding
52jpg.jpg,4,#f0b8bb,"(240, 184, 187)",5.88,Mixed,Custom Branding
52jpg.jpg,5,#ce727a,"(206, 114, 122)",4.79,Mixed,Custom Branding
63jpg.jpg,1,#f8f6f3,"(248, 246, 243)",51.47,White,Minimal / Clean
63jpg.jpg,2,#1b3b5d,"(27, 59, 93)",16.54,Mixed,Custom Branding
63jpg.jpg,3,#e4c4bf,"(228, 196, 191)",14.04,Mixed,Custom Branding
63jpg.jpg,4,#b39190,"(179, 145, 144)",9.35,Mixed,Custom Branding
63jpg.jpg,5,#bb5948,"(187, 89, 72)",8.6,Mixed,Custom Branding
50jpg.jpg,1,#fbf9f8,"(251, 249, 248)",46.61,White,Minimal / Clean
